Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.40052795410156,72.46079141879511,71.15668916006118,71.4097927692221,135480400
2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800
2020-01-06,72.26792907714844,72.30649856939735,70.5685026643333,70.81920068576198,118387200
2020-01-07,71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000
2020-01-08,73.08513641357422,73.38645380458755,71.63158161358122,71.63158161358122,132079200
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800
2020-01-13,76.40442657470703,76.43094632364196,75.0039042885127,75.1220256778742,121532000
2020-01-14,75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400
2020-01-15,75.04969787597656,76.05248268254357,74.61820946436237,75.17263768221467,121923600
2020-01-16,75.98979949951172,76.10068954693726,75.23048148138665,75.5920621906251,108829200
2020-01-17,76.83109283447266,76.83349837052724,75.93195936574989,76.23809509330889,137816400
2020-01-21,76.31043243408203,76.90101005625795,76.17302994996994,76.45988467025404,110843200
2020-01-22,76.58280944824219,77.13481745633268,76.48879491769239,76.79493065234263,101832400
2020-01-23,76.95162963867188,77.03117417903718,76.0886526637108,76.63584965719392,104472000
2020-01-24,76.72982025146484,77.9399074546243,76.53938572501609,77.19746512519868,146537600
2020-01-27,74.47358703613281,75.15335327614349,73.49249613883003,74.74115326828117,161940000
2020-01-28,76.58039855957031,76.75154473409874,75.25460237825888,75.35343533999493,162234000
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200
2020-01-30,78.07009887695312,78.12313101118072,76.8359045055242,77.26739289963146,126743200
2020-01-31,74.60858154296875,77.78325671620777,74.31449554353281,77.3614124669731,199588400
2020-02-03,74.40370178222656,75.56798894697503,72.85131399164085,73.35270289463361,173788400
2020-02-04,76.86002349853516,77.05045810466474,75.60172207527795,76.00669078804627,136616400
2020-02-05,77.48674011230469,78.28462753135985,76.88410566550306,77.98571584340952,118826800
2020-02-06,78.39309692382812,78.395509815644,77.1998851389864,77.75671877652137,105425600
2020-02-07,77.3275146484375,78.14179252171023,76.83701450488488,77.89291820993397,117684000
2020-02-10,77.69480895996094,77.69480895996094,75.83429386411699,75.91402717049185,109348800
2020-02-11,77.22607421875,78.26265171467769,77.00861231633205,78.19016687181822,94323200
2020-02-12,79.06001281738281,79.06484268174145,77.67549348632544,77.67549348632544,113730400
2020-02-13,78.49701690673828,78.82321339617904,78.12974813739189,78.33271303943899,94747600
2020-02-14,78.51634979248047,78.76522420824622,78.00893385896474,78.4656030374421,80113600
2020-02-18,77.07866668701172,77.25988612279623,76.01792538344428,76.19914481922879,152531200
2020-02-19,78.19499206542969,78.42453967717096,77.32030726926044,77.32030726926044,93984000
2020-02-20,77.39277648925781,78.44385067885128,76.88777921917897,77.95576899229526,100566000
2020-02-21,75.64099884033203,77.42903672549149,75.02485563249914,76.98685711850104,129554000
2020-02-24,72.04801940917969,73.49777501677713,69.8854717188165,71.82572767869755,222195200
2020-02-25,69.60758209228516,73.0990790994302,69.13641603822464,72.71731344350151,230673600
2020-02-26,70.71182250976562,71.97552869907848,69.22582460812832,69.23307309062069,198054800
2020-02-27,66.08951568603516,69.10500967174747,65.95420576749399,67.92104419759342,320605600
2020-02-28,66.05085754394531,67.27107285671417,61.94563554811998,62.1606861550344,426510000
2020-03-02,72.20023345947266,72.83571074634416,67.10434419306169,68.20615768991611,341397200
2020-03-03,69.90721130371094,73.45427795635602,69.05668336601278,73.37454464911569,319475600
2020-03-04,73.14982604980469,73.30930003617219,70.82780458094045,71.62758575768213,219178400
2020-03-05,70.77706146240234,72.3790349760971,70.41220399588842,71.40528289969257,187572800
2020-03-06,69.837158203125,70.26967078128168,67.95247846821638,68.13852782222664,226176800
2020-03-09,64.31359100341797,67.19376858532901,63.54763339444034,63.728852881306615,286744800
2020-03-10,68.94550323486328,69.21129308326049,65.08673900638506,66.96417614664625,285290000
2020-03-11,66.55103302001953,67.95004932218703,65.68842661681832,67.02462518678024,255598800
2020-03-12,59.97880172729492,65.23899909398826,59.92322879744106,61.8417392125565,418474000
2020-03-13,67.16475677490234,67.6359302649127,61.119275269390535,64.00429300943405,370732000
2020-03-16,58.524208068847656,62.60043194062402,57.99021323308223,58.46138297821733,322423600
2020-03-17,61.09752655029297,62.24524591333619,57.60361433805932,59.804826482410455,324056000
2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600
2020-03-19,59.14517593383789,61.09267971685388,58.62084827586573,59.775819556913696,271857200
2020-03-20,55.390323638916016,60.84865193316744,55.090706190239764,59.725089265820536,401693200
2020-03-23,54.21360397338867,55.21152015646839,51.372084613414366,55.1100377172106,336752800
2020-03-24,59.652610778808594,59.848327192203485,56.61295613694801,57.110704962845915,287531200
2020-03-25,59.3239860534668,62.39988241978959,59.02920219006361,60.58768835145107,303602000
2020-03-26,62.445796966552734,62.50378482179249,59.526955709117544,59.5656167372231,252087200
2020-03-27,59.86040115356445,61.82481719246613,59.69367869443923,61.07094557233669,204216800
2020-03-30,61.568695068359375,61.740251079824446,60.26149806281595,60.585279571290975,167976400
2020-03-31,61.44305419921875,63.424386025978244,60.88973245903772,61.75958725464871,197002000
2020-04-01,58.21010208129883,60.09719995282628,57.78000823267317,59.56079010801558,176218400
2020-04-02,59.18143844604492,59.234596446659125,57.241182484383906,58.072376290076036,165934000
2020-04-03,58.33092498779297,59.36749875348412,57.74135704437456,58.66678493104596,129880000
2020-04-06,63.41954803466797,63.57418477082714,60.256665999907646,60.62393470039306,201820400
2020-04-07,62.68501281738281,65.64976767726971,62.58111543792132,65.43229844270063,202887200
2020-04-08,64.28939819335938,64.60350888065241,63.119929845723,63.48477990198321,168895200
2020-04-09,64.75331115722656,65.2558970699064,63.95836739563788,64.92487082512187,161834800
2020-04-13,66.02428436279297,66.13301897916537,64.23141674512242,64.8306516969401,131022800
2020-04-14,69.35871124267578,69.64866527052683,67.1840781553046,67.65525160710325,194994800
2020-04-15,68.72566223144531,69.18475002856255,67.80748663721087,68.23516188327974,131154400
2020-04-16,69.27173614501953,69.63659364674618,68.22308052874929,69.43845862105105,157125200
2020-04-17,68.33180236816406,69.33455576393993,66.89654391550201,68.78847886393716,215250000
2020-04-20,66.91346740722656,68.06119058127958,66.89414057720502,67.15993057649021,130015200
2020-04-21,64.84514617919922,66.99078550242736,64.13476539316186,66.75640806793423,180991600
2020-04-22,66.7129135131836,67.14783719048366,65.77057396314187,66.11125999851906,116862400
2020-04-23,66.45437622070312,68.0781026916564,66.41571518879498,66.65734110784256,124814400
2020-04-24,68.37289428710938,68.38256138963163,66.93038709342744,66.97871523220005,126161200
2020-04-27,68.42121124267578,68.75223755503086,67.64317552817161,68.09017755648323,117087600
2020-04-28,67.31214141845703,69.06392923095741,67.22032976851494,68.88270980207805,112004800
2020-04-29,69.52302551269531,69.99178036647727,68.59518290617446,68.79814778505363,137280800
2020-04-30,70.98970031738281,71.16608991336996,69.67284332982524,70.06185756526263,183064000
2020-05-01,69.84680938720703,72.24615310349837,69.06877359729275,69.16542249456992,240616800
2020-05-04,70.8350601196289,70.9631215704607,69.18233960605242,69.87097499683554,133568000
2020-05-05,71.898193359375,72.72938694291523,71.14915168685677,71.29412868376939,147751200
2020-05-06,72.63999938964844,73.27063948300304,72.21473542323028,72.59891973995855,142333600
2020-05-07,73.39144134521484,73.73697195261609,72.9637661985266,73.26579854405584,115215200
2020-05-08,75.1382827758789,75.19158466112692,73.72336874196486,74.05044815626871,133838400
2020-05-11,76.32062530517578,76.81487118254181,74.43810496971201,74.64646961486733,145946400
2020-05-12,75.44841003417969,77.45448798811958,75.32727004325628,77.00384337710936,162301200
2020-05-13,74.53743743896484,76.54836579208815,73.46171369194431,75.62769739388037,200622400
2020-05-14,74.99533081054688,75.05590079240729,73.05466622572446,73.77666307126731,158929200
2020-05-15,74.55197143554688,74.59800522378177,72.73487156458532,72.7687943111998,166348400
2020-05-18,76.3084945678711,76.68160777866888,75.18431939181484,75.87481876052446,135178400
2020-05-19,75.86756134033203,77.17102150533867,75.83606375790906,76.32546668705436,101729600
2020-05-20,77.34304809570312,77.41330397310716,76.68646396339064,76.72522965116472,111504800
2020-05-21,76.76641082763672,77.7452239875939,76.5289737926269,77.20493698671349,102688800
2020-05-22,77.26067352294922,77.34304783651851,76.40300024409417,76.50475370458611,81803200
2020-05-26,76.73734283447266,78.55686050645615,76.68161577577496,78.37757568234818,125522000
2020-05-27,77.0716781616211,77.21704762323688,75.85543536682479,76.59439371595593,112945200
2020-05-28,77.10559844970703,78.36303205284943,76.4708261278027,76.7470214416537,133560800
2020-05-29,77.0304946899414,77.80821132778638,76.67434283627068,77.34788086093664,153532400
2020-06-01,77.97782135009766,78.09896135300481,76.8536385740957,76.98447184749915,80791200
2020-06-02,78.33879852294922,78.36302799682535,77.27034305104888,77.71129433668344,87642800
2020-06-03,78.77006530761719,79.03173182452788,78.08683399477036,78.65861858793946,104491200
2020-06-04,78.0916748046875,78.89119567752222,77.71856161359257,78.5931960727843,87560400
2020-06-05,80.31582641601562,80.37639642085425,78.31217331772173,78.34124573703636,137250400
2020-06-08,80.79067993164062,80.82460267780965,79.30308470158906,80.01296326734492,95654400
2020-06-09,83.34191131591797,83.73440381053058,80.43940107394053,80.4708986631774,147712400
2020-06-10,85.4860610961914,85.95365964938672,83.85067134903046,84.28919748972832,166651600
